,,,,,
Valve,Date and Time,Quantity [gal],Quantity Accumulator [gal],Time Duration,Time Accumulator
3/22/2023,,,,,
DC 7_DV 2_786,3/22/2023,,,00:12:00,18:21:18
DC 7_DV 1_786,3/22/2023,,,00:12:00,18:01:00
DC 7_MPV 1_786,3/22/2023,,,00:24:00,30:12:00
DC 7_MPV 2_786,3/22/2023,,,00:24:00,30:01:46
DC 7_MPV 3_786,3/22/2023,,,00:24:00,30:00:00
DC 3_DV 3_786,3/22/2023,900,32900,00:12:00,18:32:01
DC 3_BV 1_786,3/22/2023,1100,29600,00:10:00,14:43:22
DC 3_MPV 6_786,3/22/2023,2800,86300,00:24:00,29:49:39
DC 3_MPV 4_786,3/22/2023,2000,58700,00:24:00,46:50:11
DC 3_MPV 8_786,3/22/2023,700,34700,00:24:00,29:53:26
DC 3_BV 2_786,3/22/2023,700,12300,00:10:00,11:10:35
DC 3_MPV 5_786,3/22/2023,2800,39200,00:24:00,22:30:54
DC 3_MPV 7_786,3/22/2023,2600,31700,00:24:00,22:10:23
DC 4_DV 4_786,3/22/2023,200,24800,00:12:00,19:32:43
DC 4_BV 3_786,3/22/2023,600,37000,00:10:00,19:49:21
DC 4_MPV 9_786,3/22/2023,1000,43100,00:24:00,33:59:54
DC 4_MPV 13_786,3/22/2023,600,43600,00:24:00,30:25:16
DC 4_MPV 11_786,3/22/2023,0,72000,00:24:00,30:11:01
DC 4_DV 5_786,3/22/2023,200,11900,00:12:00,18:20:23
DC 4_BV 4_786,3/22/2023,400,18200,00:10:00,14:06:00
DC 4_MPV 14_786,3/22/2023,1000,46700,00:24:00,30:02:06
DC 4_MPV 10_786,3/22/2023,1400,49200,00:24:00,30:20:17
DC 4_MPV 12_786,3/22/2023,0,45600,00:24:00,30:11:40
DC 4_DUMMY,3/22/2023,3000,142300,02:00:02,172:31:58
DC 3_DUMMY,3/22/2023,0,62000,02:00:02,166:30:26
Total 3/22/2023,,,,11:16:04,
3/23/2023,,,,,
DC 7_DV 2_786,3/23/2023,,,00:12:00,18:33:18
DC 7_DV 1_786,3/23/2023,,,00:12:00,18:13:00
DC 7_MPV 1_786,3/23/2023,,,00:24:00,30:36:00
DC 7_MPV 2_786,3/23/2023,,,00:24:00,30:25:46
DC 7_MPV 3_786,3/23/2023,,,00:24:00,30:24:00
DC 3_DV 3_786,3/23/2023,900,33800,00:12:00,18:44:01
DC 3_BV 1_786,3/23/2023,1000,30600,00:10:00,14:53:22
DC 3_MPV 6_786,3/23/2023,2800,89100,00:24:00,30:13:39
DC 3_MPV 4_786,3/23/2023,2100,60800,00:24:00,47:14:11
DC 3_MPV 8_786,3/23/2023,700,35400,00:24:00,30:17:26
DC 3_BV 2_786,3/23/2023,700,13000,00:10:00,11:20:35
DC 3_MPV 5_786,3/23/2023,2500,41700,00:24:00,22:54:54
DC 3_MPV 7_786,3/23/2023,2900,34600,00:24:00,22:34:23
DC 4_DV 4_786,3/23/2023,300,25100,00:12:00,19:44:43
DC 4_BV 3_786,3/23/2023,600,37600,00:10:00,19:59:21
DC 4_MPV 9_786,3/23/2023,900,44000,00:24:00,34:23:54
DC 4_MPV 13_786,3/23/2023,600,44200,00:24:00,30:49:16
DC 4_MPV 11_786,3/23/2023,0,72000,00:24:00,30:35:01
DC 4_DV 5_786,3/23/2023,300,12200,00:12:00,18:32:23
DC 4_BV 4_786,3/23/2023,400,18600,00:10:00,14:16:00
DC 4_MPV 14_786,3/23/2023,1000,47700,00:24:00,30:26:06
DC 4_MPV 10_786,3/23/2023,1400,50600,00:24:00,30:44:17
DC 4_MPV 12_786,3/23/2023,0,45600,00:24:00,30:35:40
DC 4_DUMMY,3/23/2023,3100,145400,02:00:02,174:32:00
DC 3_DUMMY,3/23/2023,0,62000,02:00:02,168:30:28
Total 3/23/2023,,,,11:16:04,
3/24/2023,,,,,
DC 7_DV 2_786,3/24/2023,,,00:00:00,18:33:18
DC 7_DV 1_786,3/24/2023,,,00:00:00,18:13:00
DC 7_MPV 1_786,3/24/2023,,,00:00:00,30:36:00
DC 7_MPV 2_786,3/24/2023,,,00:00:00,30:25:46
DC 7_MPV 3_786,3/24/2023,,,00:00:00,30:24:00
DC 3_DV 3_786,3/24/2023,0,33800,00:00:00,18:44:01
DC 3_BV 1_786,3/24/2023,0,30600,00:00:00,14:53:22
DC 3_MPV 6_786,3/24/2023,0,89100,00:00:00,30:13:39
DC 3_MPV 4_786,3/24/2023,0,60800,00:00:00,47:14:11
DC 3_MPV 8_786,3/24/2023,0,35400,00:00:00,30:17:26
DC 3_BV 2_786,3/24/2023,0,13000,00:00:00,11:20:35
DC 3_MPV 5_786,3/24/2023,0,41700,00:00:00,22:54:54
DC 3_MPV 7_786,3/24/2023,0,34600,00:00:00,22:34:23
DC 4_DV 4_786,3/24/2023,0,25100,00:00:00,19:44:43
DC 4_BV 3_786,3/24/2023,0,37600,00:00:00,19:59:21
DC 4_MPV 9_786,3/24/2023,0,44000,00:00:00,34:23:54
DC 4_MPV 13_786,3/24/2023,0,44200,00:00:00,30:49:16
DC 4_MPV 11_786,3/24/2023,0,72000,00:00:00,30:35:01
DC 4_DV 5_786,3/24/2023,0,12200,00:00:00,18:32:23
DC 4_BV 4_786,3/24/2023,0,18600,00:00:00,14:16:00
DC 4_MPV 14_786,3/24/2023,0,47700,00:00:00,30:26:06
DC 4_MPV 10_786,3/24/2023,0,50600,00:00:00,30:44:17
DC 4_MPV 12_786,3/24/2023,0,45600,00:00:00,30:35:40
DC 4_DUMMY,3/24/2023,0,145400,00:00:00,174:32:00
DC 3_DUMMY,3/24/2023,0,62000,00:00:00,168:30:28
Total 3/24/2023,,,,00:00:00,
3/25/2023,,,,,
DC 7_DV 2_786,3/25/2023,,,00:12:00,18:45:18
DC 7_DV 1_786,3/25/2023,,,00:12:00,18:25:00
DC 7_MPV 1_786,3/25/2023,,,00:24:00,31:00:00
DC 7_MPV 2_786,3/25/2023,,,00:24:00,30:49:46
DC 7_MPV 3_786,3/25/2023,,,00:24:00,30:48:00
DC 3_DV 3_786,3/25/2023,900,34700,00:12:00,18:56:01
DC 3_BV 1_786,3/25/2023,1100,31700,00:10:00,15:03:22
DC 3_MPV 6_786,3/25/2023,2900,92000,00:24:00,30:37:39
DC 3_MPV 4_786,3/25/2023,1900,62700,00:24:00,47:38:11
DC 3_MPV 8_786,3/25/2023,700,36100,00:24:00,30:41:26
DC 3_BV 2_786,3/25/2023,700,13700,00:10:00,11:30:35
DC 3_MPV 5_786,3/25/2023,2800,44500,00:24:00,23:18:54
DC 3_MPV 7_786,3/25/2023,2600,37200,00:24:00,22:58:23
DC 4_DV 4_786,3/25/2023,200,25300,00:12:00,19:56:43
DC 4_BV 3_786,3/25/2023,600,38200,00:10:00,20:09:21
DC 4_MPV 9_786,3/25/2023,1000,45000,00:24:00,34:47:54
DC 4_MPV 13_786,3/25/2023,600,44800,00:24:00,31:13:16
DC 4_MPV 11_786,3/25/2023,1400,73400,00:24:00,30:59:01
DC 4_DV 5_786,3/25/2023,200,12400,00:12:00,18:44:23
DC 4_BV 4_786,3/25/2023,400,19000,00:10:00,14:26:00
DC 4_MPV 14_786,3/25/2023,1000,48700,00:24:00,30:50:06
DC 4_MPV 10_786,3/25/2023,1600,52200,00:24:00,31:08:17
DC 4_MPV 12_786,3/25/2023,1500,47100,00:24:00,30:59:40
DC 4_DUMMY,3/25/2023,3800,149200,02:00:02,176:32:02
DC 3_DUMMY,3/25/2023,0,62000,02:00:02,170:30:30
Total 3/25/2023,,,,11:16:04,
3/26/2023,,,,,
DC 7_DV 2_786,3/26/2023,,,00:00:00,18:45:18
DC 7_DV 1_786,3/26/2023,,,00:00:00,18:25:00
DC 7_MPV 1_786,3/26/2023,,,00:00:00,31:00:00
DC 7_MPV 2_786,3/26/2023,,,00:00:00,30:49:46
DC 7_MPV 3_786,3/26/2023,,,00:00:00,30:48:00
DC 3_DV 3_786,3/26/2023,0,34700,00:00:00,18:56:01
DC 3_BV 1_786,3/26/2023,0,31700,00:00:00,15:03:22
DC 3_MPV 6_786,3/26/2023,0,92000,00:00:00,30:37:39
DC 3_MPV 4_786,3/26/2023,0,62700,00:00:00,47:38:11
DC 3_MPV 8_786,3/26/2023,0,36100,00:00:00,30:41:26
DC 3_BV 2_786,3/26/2023,0,13700,00:00:00,11:30:35
DC 3_MPV 5_786,3/26/2023,0,44500,00:00:00,23:18:54
DC 3_MPV 7_786,3/26/2023,0,37200,00:00:00,22:58:23
DC 4_DV 4_786,3/26/2023,0,25300,00:00:00,19:56:43
DC 4_BV 3_786,3/26/2023,0,38200,00:00:00,20:09:21
DC 4_MPV 9_786,3/26/2023,0,45000,00:00:00,34:47:54
DC 4_MPV 13_786,3/26/2023,0,44800,00:00:00,31:13:16
DC 4_MPV 11_786,3/26/2023,0,73400,00:00:00,30:59:01
DC 4_DV 5_786,3/26/2023,0,12400,00:00:00,18:44:23
DC 4_BV 4_786,3/26/2023,0,19000,00:00:00,14:26:00
DC 4_MPV 14_786,3/26/2023,0,48700,00:00:00,30:50:06
DC 4_MPV 10_786,3/26/2023,0,52200,00:00:00,31:08:17
DC 4_MPV 12_786,3/26/2023,0,47100,00:00:00,30:59:40
DC 4_DUMMY,3/26/2023,0,149200,00:00:00,176:32:02
DC 3_DUMMY,3/26/2023,0,62000,00:00:00,170:30:30
Total 3/26/2023,,,,00:00:00,
3/27/2023,,,,,
DC 7_DV 2_786,3/27/2023,,,00:12:00,18:57:18
DC 7_DV 1_786,3/27/2023,,,00:12:00,18:37:00
DC 7_MPV 1_786,3/27/2023,,,00:24:00,31:24:00
DC 7_MPV 2_786,3/27/2023,,,00:24:00,31:13:46
DC 7_MPV 3_786,3/27/2023,,,00:24:00,31:12:00
DC 3_DV 3_786,3/27/2023,900,35600,00:12:00,19:08:01
DC 3_BV 1_786,3/27/2023,1100,32800,00:10:00,15:13:22
DC 3_MPV 6_786,3/27/2023,3000,95000,00:24:00,31:01:39
DC 3_MPV 4_786,3/27/2023,2200,64900,00:24:00,48:02:11
DC 3_MPV 8_786,3/27/2023,700,36800,00:24:00,31:05:26
DC 3_BV 2_786,3/27/2023,700,14400,00:10:00,11:40:35
DC 3_MPV 5_786,3/27/2023,2900,47400,00:24:00,23:42:54
DC 3_MPV 7_786,3/27/2023,2900,40100,00:24:00,23:22:23
DC 4_DV 4_786,3/27/2023,200,25500,00:12:00,20:08:43
DC 4_BV 3_786,3/27/2023,700,38900,00:10:00,20:19:21
DC 4_MPV 9_786,3/27/2023,900,45900,00:24:00,35:11:54
DC 4_MPV 13_786,3/27/2023,700,45500,00:24:00,31:37:16
DC 4_MPV 11_786,3/27/2023,1500,74900,00:24:00,31:23:01
DC 4_DV 5_786,3/27/2023,200,12600,00:12:00,18:56:23
DC 4_BV 4_786,3/27/2023,400,19400,00:10:00,14:36:00
DC 4_MPV 14_786,3/27/2023,900,49600,00:24:00,31:14:06
DC 4_MPV 10_786,3/27/2023,1500,53700,00:24:00,31:32:17
DC 4_MPV 12_786,3/27/2023,1300,48400,00:24:00,31:23:40
DC 4_DUMMY,3/27/2023,3500,152700,02:00:02,178:32:04
DC 3_DUMMY,3/27/2023,0,62000,02:00:02,172:30:32
Total 3/27/2023,,,,11:16:04,
3/28/2023,,,,,
DC 7_DV 2_786,3/28/2023,,,00:12:00,19:09:18
DC 7_DV 1_786,3/28/2023,,,00:12:00,18:49:00
DC 7_MPV 1_786,3/28/2023,,,00:24:00,31:48:00
DC 7_MPV 2_786,3/28/2023,,,00:24:00,31:37:46
DC 7_MPV 3_786,3/28/2023,,,00:24:00,31:36:00
DC 3_DV 3_786,3/28/2023,800,36400,00:12:00,19:20:01
DC 3_BV 1_786,3/28/2023,1000,33800,00:10:00,15:23:22
DC 3_MPV 6_786,3/28/2023,2700,97700,00:24:00,31:25:39
DC 3_MPV 4_786,3/28/2023,2000,66900,00:24:00,48:26:11
DC 3_MPV 8_786,3/28/2023,600,37400,00:24:00,31:29:26
DC 3_BV 2_786,3/28/2023,700,15100,00:10:00,11:50:35
DC 3_MPV 5_786,3/28/2023,2500,49900,00:24:00,24:06:54
DC 3_MPV 7_786,3/28/2023,2600,42700,00:24:00,23:46:23
DC 4_DV 4_786,3/28/2023,200,25700,00:12:00,20:20:43
DC 4_BV 3_786,3/28/2023,600,39500,00:10:00,20:29:21
DC 4_MPV 9_786,3/28/2023,900,46800,00:24:00,35:35:54
DC 4_MPV 13_786,3/28/2023,600,46100,00:24:00,32:01:16
DC 4_MPV 11_786,3/28/2023,1300,76200,00:24:00,31:47:01
DC 4_DV 5_786,3/28/2023,200,12800,00:12:00,19:08:23
DC 4_BV 4_786,3/28/2023,400,19800,00:10:00,14:46:00
DC 4_MPV 14_786,3/28/2023,900,50500,00:24:00,31:38:06
DC 4_MPV 10_786,3/28/2023,1500,55200,00:24:00,31:56:17
DC 4_MPV 12_786,3/28/2023,1300,49700,00:24:00,31:47:40
DC 4_DUMMY,3/28/2023,3500,156200,02:00:02,180:32:06
DC 3_DUMMY,3/28/2023,0,62000,02:00:02,174:30:34
Total 3/28/2023,,,,11:16:04,
3/29/2023,,,,,
DC 7_DV 2_786,3/29/2023,,,00:12:00,19:21:18
DC 7_DV 1_786,3/29/2023,,,00:12:00,19:01:00
DC 7_MPV 1_786,3/29/2023,,,00:24:00,32:12:00
DC 7_MPV 2_786,3/29/2023,,,00:24:00,32:01:46
DC 7_MPV 3_786,3/29/2023,,,00:24:00,32:00:00
DC 3_DV 3_786,3/29/2023,800,37200,00:12:00,19:32:01
DC 3_BV 1_786,3/29/2023,1000,34800,00:10:00,15:33:22
DC 3_MPV 6_786,3/29/2023,2500,100200,00:24:00,31:49:39
DC 3_MPV 4_786,3/29/2023,1700,68600,00:24:00,48:50:11
DC 3_MPV 8_786,3/29/2023,500,37900,00:24:00,31:53:26
DC 3_BV 2_786,3/29/2023,700,15800,00:10:00,12:00:35
DC 3_MPV 5_786,3/29/2023,2300,52200,00:24:00,24:30:54
DC 3_MPV 7_786,3/29/2023,2400,45100,00:24:00,24:10:23
DC 4_DV 4_786,3/29/2023,300,26000,00:12:00,20:32:43
DC 4_BV 3_786,3/29/2023,500,40000,00:10:00,20:39:21
DC 4_MPV 9_786,3/29/2023,800,47600,00:24:00,35:59:54
DC 4_MPV 13_786,3/29/2023,500,46600,00:24:00,32:25:16
DC 4_MPV 11_786,3/29/2023,1000,77200,00:24:00,32:11:01
DC 4_DV 5_786,3/29/2023,100,12900,00:12:00,19:20:23
DC 4_BV 4_786,3/29/2023,300,20100,00:10:00,14:56:00
DC 4_MPV 14_786,3/29/2023,600,51100,00:24:00,32:02:06
DC 4_MPV 10_786,3/29/2023,600,55800,00:24:00,32:20:17
DC 4_MPV 12_786,3/29/2023,0,49700,00:24:00,32:11:40
DC 4_DUMMY,3/29/2023,1600,157800,02:00:02,182:32:08
DC 3_DUMMY,3/29/2023,0,62000,02:00:02,176:30:36
Total 3/29/2023,,,,11:16:04,
Total,,138800,,67:36:24,
,,,,,
